"TARGET_DT","ITEM_CODE","MATCH_SCORE","NEXT_DAY_HIGH5M","AFTER_DAY_HIGH5D","UPD_DT","MEMO"
"20250116","000720",0.68718,0,0,"2025-01-19 14:42:23",NA
"20250116","009540",0.51928,0,0,"2025-01-19 14:42:23",NA
"20250122","000720",0.58794,0,0,"2025-01-29 19:27:29",NA
"20250122","031980",0.778626,0,0,"2025-01-29 19:27:29",NA
"20250122","089030",0.617128,0,0,"2025-01-29 19:27:29",NA
"20250124","000720",0.79661,0,0,"2025-01-29 17:57:13",NA
"20250124","031980",0.877095,0,0,"2025-01-29 17:57:13",NA
"20250124","101000",0.959064,0,0,"2025-01-29 17:57:13",NA
